databraryID,sex,age,event1,friend1,nonfriend1,helper1,choose_friend1,choice_action1,story1,specific 1,type_help1,qualStory1,event2,friend2,nonfriend2,helper2,choose_friend2,choice_action2,story2,specific 2,type_help2,qualstory2,event3,friend3,nonfriend3,helper3,choose_friend3,choice_action3,story3,specific 3,type_help3,qualStory3,event4,friend4,nonfriend4,helper4,choose_friend4,choice_action4,story4,specific 4,type_help4,qualStory4,event5,friend5,nonfriend5,helper5,choose_friend5,choice_action5,story5,specific 5,type_help5,qualStory5,event6,friend6,nonfriend6,helper6,choose_friend6,choice_action6,story6,specific 6,type_help6,qualStory6,Notes 
FLIP5_01,f,5,tree,frog,walrus,frog,f,move,verbal,not,goal,bandaid ,bars,alligator ,turtle,alligator,f,move,verbal,not,goal,put back on monkeybars,slide,snail ,turtle,snail,f,move,verbal,not,goal,put back on slide,sand,cow,lamb,cow,f,move,verbal,not,goal,building sandcastle,rock,horse,chicken,chicken,n ,move,verbal,not,goal,play tag,sting,horse ,pig,pig,n,move,verbal,not,goal,bandaid ,
FLIP5_02,f,5,slide,walrus,frog,frog,n,move,verbal,not,none,"""making her feel better""",rock,turtle,alligator,turtle,f,move,verbal,not,none,"""making her feel better""",tree,turtle,snail,snail,n,move,verbal,not,none,"""making her feel better"" ",sting,lamb,cow,cow,n,move,verbal,not,none,"""making her feel better""",bars,chicken,pelican,chicken,f,move,verbal,not,none,"""making her feel better""",sand,pig,horse,horse,n,move,verbal,not,none ,"""making her feel better""",
FLIP5_03,f,5,tree,snail,turtle,snail,f,act,verbal,not,comfort,"hold hand and say ""its okay""",slide,walrus,frog,walrus,f,act,verbal,not,comfort,"verbally comforts, piggy back, says ""I hope you feel better""",bars,pelican,chicken,pelican,f,act,verbal,not,goal,"verbally comforting ""its okay""",rock,turtle,alligator,turtle,f,act,verbal,not,goal,Tells how not to stub toe in future,sand,pig,horse,pig,f,act,verbal,not,comfort,"""I hope you feel better soon""",sting,cow,lamb,cow,f,act,verbal,not,comfort,"""I always get hurt when I get milked too""",
FLIP5_04,m,5,sting,horse,pig,horse,f,move,no,not,none,not applicable,rock,pelican,chicken,pelican,f,move,no,not,none,not applicable ,sand,lamb,cow,lamb,f,move,verbal,not,comfort,"""making Hootie feel better""",slide,frog,snail,frog,f,move,verbal,not,comfort,"""making them feel better""",bars,turtle,alligator,turtle,f,move,verbal,not,comfort,"""making them feel better""",tree,frog,walrus,frog,f,move,verbal,not,comfort,"""making him feel better""",
FLIP5_06,f,5,slide,snail,turtle,turtle,n,move,verbal,not,goal,bandaid and drink of water for hurt character,tree,frog,walrus,walrus,n,move,verbal,not,goal,"Goes to get bandaid, cream, and water",rock,chicken,pelican,pelican,n,act,verbal,not,goal,Pelican will fly and stop her from tripping and get a bandaid,bars,alligator,turtle,alligator,f,move,verbal,not,goal,bandaid,sting,horse,pig,horse,f,act,verbal,not,goal,gets bandaid and water,sand,lamb,cow,lamb,f,move,verbal,not,goal,getting water and bandaid,Recognized that the animals who jumped up and down were friends and said that's why she chose them but remembered which animal it was incorrectly. 
FLIP5_07,m,5,slide,walrus,frog,frog,n,move,verbal,not,goal,helps put back on slide,rock,turtle,alligator,turtle,f,move,verbal,not,goal,Stood the hurt character back up ,tree,turtle,snail,turtle,f,move,verbal,not ,goal,Stands the hurt animal back up,sting,lamb,cow,cow,n,move,verbal,not,goal,bandaid and stands back up,bars,chicken,pelican,chicken,f,move,verbal,not,goal,bandaid ,sand,pig,horse,pig,f,move,verbal,not,goal,stands the hurt character back up,
FLIP5_08,f,5,sand,cow,lamb,lamb,n,move,verbal,not,goal,bandaid,sting,pig,horse,pig,f,move,verbal,not,comfort,Big hug,bars,alligator ,turtle,turtle,n,move,verbal,not,comfort,Gives a kiss and bandaid,rock,chicken,pelican,chicken,f,move,verbal,not,comfort,Hugs and helps back up,tree,walrus,frog,walrus,f,move,verbal,not,comfort,Hugs and makes silly faces to try to make her feel better,slide,turtle,snail,turtle,f,move,verbal,not,comfort,asks if hurt character is okay,
FLIP5_09,f,5,rock,turtle,alligator,turtle,f,move,verbal,not,goal,takes hurt character to nurse,sting,lamb,cow,lamb,f,move,verbal,not ,goal,Gets icepack,slide,frog,walrus,frog,f,move,verbal,not,goal,Getting icepack,sand,horse,pig,pig,n,move,verbal,not,goal,Bring home for shower and get bandaid ,tree,snail,turtle,turtle,n,move,verbal,not,goal,Give ice ,bars,chicken,pelican,chicken,f,move,verbal,not,goal,Ice,
FLIP5_10,f,5,sand,lamb,cow,lamb,f,move,verbal,not,none,"""shes helping""",sting,horse,pig,horse,f,move,verbal,not,none,"""shes helping""",bars,turtle,alligator,alligator,n,move,verbal,not,goal,Helping eachother cross monkey bars,rock,pelican,chicken,chicken,n,move,no,not,none,no story told,tree,frog,walrus,walrus,n,move,verbal,not,goal,Helping up and climbing tree together,slide,snail,turtle,turtle,n,move,verbal,not,goal,Going up slide together,
FLIP5_11,f,5,rock,pelican,chicken,pelican,f,move,verbal,not,goal,getting water for hurt animal,slide,snail,turtle,turtle,n,move,verbal,not,goal,Getting water for hurt animal,sting,pig,horse,pig,f,move,verbal,not,goal,Getting hurt animal water,tree,frog,walrus,walrus ,n,move,verbal,not,goal,getting water for hurt animal,sand,lamb,cow,cow,n,move,verbal,not,goal,getting water for hurt animal,bars,turtle,alligator,turtle,f,move,verbal,not,goal,Getting water for hurt animal,
